attempt_id,phase,contrast_id,block_index,retry_index,template,position_index,label,algorithm,n,pattern,seed,block_size,workers,status,invalid_reason,external_interruption,returncode,timed_out,position_ns,input_checksum,output_checksum,executable_sha256_before,executable_sha256_after,attempt_directory
profile-profile_reference_n4096-b01-r0-p1-reference,profile,profile_reference_n4096,1,0,P,1,reference,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,665084,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/profile-profile_reference_n4096-b01-r0-p1-reference
profile-profile_linear_n4194304-b02-r0-p1-linear,profile,profile_linear_n4194304,2,0,P,1,linear,linear,4194304,mixed,2026082901,1,1,VALID,,False,0,False,6965750,fcb14a3d4db7d7be,fc85f7a4255832b3,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/profile-profile_linear_n4194304-b02-r0-p1-linear
profile-profile_blocked_n4194304-b03-r0-p1-blocked,profile,profile_blocked_n4194304,3,0,P,1,blocked,blocked,4194304,mixed,2026082901,16384,1,VALID,,False,0,False,6109166,fcb14a3d4db7d7be,fc85f7a4255832b3,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/profile-profile_blocked_n4194304-b03-r0-p1-blocked
profile-profile_parallel_n4194304-b04-r0-p1-parallel,profile,profile_parallel_n4194304,4,0,P,1,parallel,parallel,4194304,mixed,2026082901,1,4,VALID,,False,0,False,4557958,fcb14a3d4db7d7be,fc85f7a4255832b3,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/profile-profile_parallel_n4194304-b04-r0-p1-parallel
