attempt_id,phase,contrast_id,block_index,retry_index,template,position_index,label,algorithm,n,pattern,seed,block_size,workers,status,invalid_reason,external_interruption,returncode,timed_out,position_ns,input_checksum,output_checksum,executable_sha256_before,executable_sha256_after,attempt_directory
pilot-ref_linear_n512-b03-r0-p4-A,pilot,ref_linear_n512,3,0,ABBA,4,A,linear,512,mixed,2026082901,1,1,VALID,,False,0,False,958,c7a33e0dae2278d8,30701cd1672a9867,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n512-b03-r0-p4-A
pilot-ref_linear_n512-b04-r0-p1-B,pilot,ref_linear_n512,4,0,BAAB,1,B,reference,512,mixed,2026082901,1,1,VALID,,False,0,False,11667,c7a33e0dae2278d8,30701cd1672a9867,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n512-b04-r0-p1-B
pilot-ref_linear_n512-b04-r0-p2-A,pilot,ref_linear_n512,4,0,BAAB,2,A,linear,512,mixed,2026082901,1,1,VALID,,False,0,False,375,c7a33e0dae2278d8,30701cd1672a9867,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n512-b04-r0-p2-A
pilot-ref_linear_n512-b04-r0-p3-A,pilot,ref_linear_n512,4,0,BAAB,3,A,linear,512,mixed,2026082901,1,1,VALID,,False,0,False,291,c7a33e0dae2278d8,30701cd1672a9867,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n512-b04-r0-p3-A
pilot-ref_linear_n512-b04-r0-p4-B,pilot,ref_linear_n512,4,0,BAAB,4,B,reference,512,mixed,2026082901,1,1,VALID,,False,0,False,12000,c7a33e0dae2278d8,30701cd1672a9867,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n512-b04-r0-p4-B
pilot-ref_linear_n4096-b01-r0-p1-B,pilot,ref_linear_n4096,1,0,BAAB,1,B,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,672250,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b01-r0-p1-B
pilot-ref_linear_n4096-b01-r0-p2-A,pilot,ref_linear_n4096,1,0,BAAB,2,A,linear,4096,mixed,2026082901,1,1,VALID,,False,0,False,1958,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b01-r0-p2-A
pilot-ref_linear_n4096-b01-r0-p3-A,pilot,ref_linear_n4096,1,0,BAAB,3,A,linear,4096,mixed,2026082901,1,1,VALID,,False,0,False,2000,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b01-r0-p3-A
pilot-ref_linear_n4096-b01-r0-p4-B,pilot,ref_linear_n4096,1,0,BAAB,4,B,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,655791,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b01-r0-p4-B
pilot-ref_linear_n4096-b02-r0-p1-A,pilot,ref_linear_n4096,2,0,ABBA,1,A,linear,4096,mixed,2026082901,1,1,VALID,,False,0,False,2000,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b02-r0-p1-A
pilot-ref_linear_n4096-b02-r0-p2-B,pilot,ref_linear_n4096,2,0,ABBA,2,B,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,901542,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b02-r0-p2-B
pilot-ref_linear_n4096-b02-r0-p3-B,pilot,ref_linear_n4096,2,0,ABBA,3,B,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,675459,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b02-r0-p3-B
pilot-ref_linear_n4096-b02-r0-p4-A,pilot,ref_linear_n4096,2,0,ABBA,4,A,linear,4096,mixed,2026082901,1,1,VALID,,False,0,False,2041,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b02-r0-p4-A
pilot-ref_linear_n4096-b03-r0-p1-B,pilot,ref_linear_n4096,3,0,BAAB,1,B,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,673292,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b03-r0-p1-B
pilot-ref_linear_n4096-b03-r0-p2-A,pilot,ref_linear_n4096,3,0,BAAB,2,A,linear,4096,mixed,2026082901,1,1,VALID,,False,0,False,5875,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b03-r0-p2-A
pilot-ref_linear_n4096-b03-r0-p3-A,pilot,ref_linear_n4096,3,0,BAAB,3,A,linear,4096,mixed,2026082901,1,1,VALID,,False,0,False,1917,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b03-r0-p3-A
pilot-ref_linear_n4096-b03-r0-p4-B,pilot,ref_linear_n4096,3,0,BAAB,4,B,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,655625,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b03-r0-p4-B
pilot-ref_linear_n4096-b04-r0-p1-A,pilot,ref_linear_n4096,4,0,ABBA,1,A,linear,4096,mixed,2026082901,1,1,VALID,,False,0,False,2000,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b04-r0-p1-A
pilot-ref_linear_n4096-b04-r0-p2-B,pilot,ref_linear_n4096,4,0,ABBA,2,B,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,680250,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b04-r0-p2-B
pilot-ref_linear_n4096-b04-r0-p3-B,pilot,ref_linear_n4096,4,0,ABBA,3,B,reference,4096,mixed,2026082901,1,1,VALID,,False,0,False,675417,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b04-r0-p3-B
pilot-ref_linear_n4096-b04-r0-p4-A,pilot,ref_linear_n4096,4,0,ABBA,4,A,linear,4096,mixed,2026082901,1,1,VALID,,False,0,False,5709,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n4096-b04-r0-p4-A
pilot-blocked_linear_n4096_b16384-b01-r0-p1-A,pilot,blocked_linear_n4096_b16384,1,0,ABBA,1,A,linear,4096,mixed,2026082901,16384,1,VALID,,False,0,False,1959,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-blocked_linear_n4096_b16384-b01-r0-p1-A
pilot-blocked_linear_n4096_b16384-b01-r0-p2-B,pilot,blocked_linear_n4096_b16384,1,0,ABBA,2,B,blocked,4096,mixed,2026082901,16384,1,VALID,,False,0,False,8083,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-blocked_linear_n4096_b16384-b01-r0-p2-B
pilot-blocked_linear_n4096_b16384-b01-r0-p3-B,pilot,blocked_linear_n4096_b16384,1,0,ABBA,3,B,blocked,4096,mixed,2026082901,16384,1,VALID,,False,0,False,2667,c29f6e9a49eb3454,25339d9aebc6ec46,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-blocked_linear_n4096_b16384-b01-r0-p3-B
